ID	DevName	DataCode	NameStringID	DescStringID	TriggerType	Effects	RARITY	Sprite
1	토끼 인형	fan_rabbit_head		머리 위에 토끼를 업고 다닐 수 있음	Passive	`[{"Trigger":"Passive","Target":"Cosmetic","Calc":"Add","Value":0,"Option":"Rabbit"}]`	White	
2	거북이 인형	fan_turtle_head		머리 위에 거북이를 업고 다닐 수 있음	Passive	`[{"Trigger":"Passive","Target":"Cosmetic","Calc":"Add","Value":0,"Option":"Turtle"}]`	White	
3	고양이 인형	fan_cat_head		머리 위에 고양이를 업고 다닐 수 있음	Passive	`[{"Trigger":"Passive","Target":"Cosmetic","Calc":"Add","Value":0,"Option":"Cat"}]`	White	
4	앵무새 인형	fan_parrot_head		머리 위에 앵무새를 업고 다닐 수 있음	Passive	`[{"Trigger":"Passive","Target":"Cosmetic","Calc":"Add","Value":0,"Option":"Parrot"}]`	White	
5	싸인펜	fan_shop_pen		상점에서 이동 횟수 +1	Passive	`[{"Trigger":"Passive","Target":"Shop_Movement","Calc":"Add","Value":1,"Option":""}]`	White	
6	쿠키	fan_shop_heal		상점에 들어갈 때마다, 체력 +300	Shop_Enter	`[{"Trigger":"Shop_Enter","Target":"HP","Calc":"Add","Value":300.0,"Option":""}]`	White	
7	할인 쿠폰	fan_shop_discount		상점 품목 가격 30% 할인	Passive	`[{"Trigger":"Passive","Target":"Price","Calc":"Multiply","Value":0.85,"Option":""}]`	White	
8	스텐실	fan_shop_stencil		상점에서 스텐실을 제외한, 보유중인 백색 등급 아이템을 추가로 한 개 얻을 수 있음(상점당 1회, 환상당 한 번씩만, 비용 2자리)	Passive	`[{"Trigger":"Passive","Target":"fan_shop_stencil","Calc":"Add","Value":1.0}]`	Blue	
9	성냥갑	fan_start_match		전투 시작 시 임시 여분성냥 +1	Battle_Start	`[{"Trigger":"Battle_Start","Target":"Extra_Match","Calc":"Add","Value":1.0,"Option":""}]`	White	
10	떡지우개	fan_start_eraser		전투 시작 시 임시 지우개 +1	Battle_Start	`[{"Trigger":"Battle_Start","Target":"Eraser","Calc":"Add","Value":1.0,"Option":""}]`	White	
11	토끼발	fan_reward_rabbitfoot		전투 종료 이후 아이템을 얻을 확률 x2	Battle_Reward	`[{"Trigger":"Battle_Reward","Target":"Item_Chance","Calc":"Multiply","Value":2.0,"Option":""}]`	White	
12	연필	fan_acquire_pencil		소모품을 얻을 때마다, 한 개씩 추가로 얻음	Acquire_Item	`[{"Trigger":"Acquire_Item","Target":"Item","Calc":"Add","Value":1.0,"Option":""}]`	White	
13	8번 당구공	fan_end_8ball		내 턴이 끝날 때 모든 상자 속 8의 개수 x20의 피해를 추가로 입힘	Turn_End	`[{"Trigger":"Turn_End","Target":"Damage","Calc":"Add","Value":20.0,"Option":""}]`	White	
14	파이프	fan_eventurn_pipe		매 짝수 턴마다 타수 +1	Turn_Even	`[{"Trigger":"Turn_Even","Target":"Attack_Count","Calc":"Add","Value":1.0,"Option":""}]`	White	
15	닻	fan_damage_anchor		피해를 입을 때마다 항상 20씩 적게 받음	Take_Damage	`[{"Trigger":"Take_Damage","Target":"Damage_Taken","Calc":"Add","Value":-20.0,"Option":""}]`	White	
16	돛	fan_reflect_sail		피해를 입을 때마다 받은 피해량의 50%를 반사	Take_Damage	`[{"Trigger":"Take_Damage","Target":"Damage_Reflect","Calc":"Multiply","Value":50.0,"Option":""}]`	White	
17	장화	fan_turn_boots		매 턴 이동 횟수 +2	Turn_Start	`[{"Trigger":"Turn_Start","Target":"Movement","Calc":"Add","Value":2.0,"Option":""}]`	White	
18	트럼프 카드	fan_end_trumpcard		내 턴이 끝날 때 남아있는 이동 횟수가 임시 이동횟수로 전환	Turn_End	`[{"Trigger":"Turn_End","Target":"Movement","Calc":"Set","Value":1.0,"Option":""}]`	White	
19	새총	fan_damage_slingshot		피해를 입힐 때 마다 항상 30씩 추가로 입힘	Deal_Damage	`[{"Trigger":"Deal_Damage","Target":"Additional_Damage","Calc":"Add","Value":30.0,"Option":""}]`	White	
20	모래시계	fan_end_hourglass		내 턴이 끝날 때 적에게 50의 피해	Turn_End	`[{"Trigger":"Turn_End","Target":"Damage","Calc":"Add","Value":50.0,"Option":""}]`	White	
21	종이학	fan_start_papercrane		전투 시작 시 힘 +1	Battle_Start	`[{"Trigger":"Battle_Start","Target":"Strength","Calc":"Add","Value":1.0,"Option":""}]`	White	
22	종이개구리	fan_start_paperfrog		전투 시작 시 적의 힘 -1	Battle_Start	`[{"Trigger":"Battle_Start","Target":"Enemy_Strength","Calc":"Add","Value":-1.0,"Option":""}]`	White	
23	수박	fan_acquire_watermelon		획득 시 체력 +200	On_Acquire	`[{"Trigger":"On_Acquire","Target":"HP","Calc":"Add","Value":200.0,"Option":""}]`	White	
24	딸기	fan_end_strawberry		전투 종료 후 체력 +50	Battle_End	`[{"Trigger":"Battle_End","Target":"HP","Calc":"Add","Value":50.0,"Option":""}]`	White	
25	포도	fan_end_grape		턴 종료 시 남은 이동 횟수마다 체력 +20	Turn_End	`[{"Trigger":"Turn_End","Target":"HP","Calc":"Add","Value":20.0,"Option":""}]`	White	
26	도장	fan_start_stamp		전투 시작 시 보유 중인 환상의 임시 무작위 복사본 생성	Battle_Start	`[{"Trigger":"Battle_Start","Target":"Fantasy","Calc":"Add","Value":1.0,"Option":""}]`	White	
27	주사위	fan_end_dice		전투 종료 시 환상 1회 새로고침 가능	Battle_End	`[{"Trigger":"Battle_End","Target":"Fantasy_Reroll","Calc":"Add","Value":1.0,"Option":""}]`	White	
28	커피	fan_rest_coffee		휴식 장소에서 휴식하는 대신 무작위 백색 환상 획득 가능	Passive	`[{"Trigger":"Passive","Target":"Fantasy","Calc":"Add","Value":1.0,"Option":""}]`	White	
29	머그잔	fan_rest_mug		휴식 장소에서 휴식 상자의 힘 +1	Passive	`[{"Trigger":"Passive","Target":"Strength","Calc":"Add","Value":1.0,"Option":""}]`	White	
30	베개	fan_rest_pillow		휴식 장소에서 휴식 시 체력 +70	Passive	`[{"Trigger":"Passive","Target":"HP","Calc":"Add","Value":70.0,"Option":""}]`	White	
31	천칭자리	fan_damage_libra		내 기본 피해량 상자가 [00]이라면 200으로 취급, [00]이 아니라면 0으로 취급		`[{"Trigger":"","Target":"Base_Damage","Calc":"Set","Value":200.0,"Option":""}]`	Red	
32	물고기자리	fan_turn_pisces		턴 시작 시 이동 횟수가 0이 되는 대신, 그만큼 임시 여분성냥과 지우개 획득	Turn_Start	`[{"Trigger":"Turn_Start","Target":"Item","Calc":"Add","Value":1.0,"Option":""}]`	Red	
